id_local,coordenada_x_local,coordenada_y_local
1516,439566,4473090
1517,438961,4473682
1518,438825,4473759
1519,439924,4472767
1520,440748,4472176
1522,440419,4472120
1523,441475,4474741
1524,443072,4474796
1525,443042,4472606
1526,442331,4472836
1527,442616,4474460
1528,442800,4474405
1529,442861,4472924
1530,443004,4472936
1531,443275,4472641
1532,442570,4472946
1533,443562,4474902
1534,441244,4472673
1535,441690,4472539
1537,440517,4472844
1538,441200,4473166
1539,440785,4472180
1540,441117,4473170
1541,441182,4473050
1542,439815,4472274
1543,441213,4473149
1544,441368,4472817
1545,442363,4475492
1546,442353,4476108
1547,441696,4476063
1548,443368,4475245
1550,442338,4474802
1551,442818,4475072
1552,442966,4475554
1553,441583,4476374
1554,443904,4476594
1555,441829,4474762
1556,440252,4472076
1557,441059,4472745
1558,441599,4470804
1560,440960,4472754
1561,441217,4472829
1562,440197,4472841
1563,441722,4470860
1564,439701,4472413
1565,440047,4472788
1566,441230,4472481
1567,443241,4476095
1568,442618,4476232
1569,442845,4476110
1570,442762,4476056
1571,441481,4474893
1572,443345,4475330
1574,442997,4475333
1575,442493,4476176
1577,441253,4473075
1578,441376,4471571
1580,440617,4472052
1582,439851,4472615
1583,440580,4472472
1584,440506,4472709
1585,441620,4472514
1586,440863,4472940
1587,440715,4472722
1588,440659,4472419
1589,441178,4473012
1590,439681,4472763
1591,439403,4472817
1592,440308,4472094
1593,440232,4472510
1594,440621,4472083
1595,440937,4472715
1596,441130,4471114
1597,439282,4473290
1599,443424,4475092
1600,443605,4475626
1601,443436,4475609
1602,442850,4475202
1603,442279,4474848
1604,443172,4475854
1605,442039,4475021
1606,442642,4476230
1608,442460,4475692
1609,443420,4476318
1610,438868,4472997
1611,440264,4472254
1612,438992,4472882
1613,439672,4472657
1614,441405,4472782
1615,441199,4472482
1616,441186,4473083
1618,440994,4472864
1619,440225,4472874
1620,438956,4473534
1621,443749,4475681
1623,441882,4476381
1624,441911,4475030
1626,443861,4475370
1627,442265,4474868
1628,442779,4476640
